ko	pathway	ERR1995239_bin.1	ERR1995239_bin.10	ERR1995239_bin.11	ERR1995239_bin.12	ERR1995239_bin.13	ERR1995239_bin.14	ERR1995239_bin.15	ERR1995239_bin.16	ERR1995239_bin.17	ERR1995239_bin.18	ERR1995239_bin.19	ERR1995239_bin.2	ERR1995239_bin.20	ERR1995239_bin.21	ERR1995239_bin.22	ERR1995239_bin.23	ERR1995239_bin.24	ERR1995239_bin.25	ERR1995239_bin.26	ERR1995239_bin.27	ERR1995239_bin.28	ERR1995239_bin.29	ERR1995239_bin.3	ERR1995239_bin.30	ERR1995239_bin.31	ERR1995239_bin.32	ERR1995239_bin.4	ERR1995239_bin.5	ERR1995239_bin.6	ERR1995239_bin.7	ERR1995239_bin.8	ERR1995239_bin.9
ko00010	Glycolysis / Gluconeogenesis	49	58	56	51	56	25	53	56	59	63	56	63	59	63	57	47	60	44	62	54	59	58	56	60	52	56	56	54	47	63	57	57
ko00020	Citrate cycle (TCA cycle)	32	38	35	40	38	16	34	34	39	36	36	39	32	39	35	36	39	34	33	33	37	37	34	38	37	32	38	39	38	37	37	36
ko00030	Pentose phosphate pathway	40	51	49	46	49	34	48	45	53	42	48	50	51	53	46	44	45	39	57	49	48	57	48	45	47	58	45	46	44	55	38	42
ko00040	Pentose and glucuronate interconversions	18	41	20	39	43	14	48	31	53	33	39	30	44	53	47	31	43	30	35	41	26	52	32	41	42	44	32	42	51	53	34	35
ko00051	Fructose and mannose metabolism	34	52	53	49	48	34	55	45	56	44	46	46	53	60	49	46	48	28	58	51	45	57	38	47	50	62	43	46	50	54	47	48
ko00052	Galactose metabolism	25	40	39	37	34	18	36	32	38	32	38	27	37	36	34	29	33	20	46	31	34	36	31	35	32	41	36	32	35	35	32	33
ko00053	Ascorbate and aldarate metabolism	17	25	20	26	22	11	25	22	29	21	27	20	29	31	27	23	25	17	19	23	21	29	21	22	24	29	25	25	29	29	18	22
ko00061	Fatty acid biosynthesis	27	15	22	26	25	16	26	26	26	23	26	26	25	26	15	14	11	16	20	24	24	25	27	10	24	25	25	25	26	25	24	25
ko00062	Fatty acid elongation	1	4	1	1	2	1	4	3	1	1	2	3	4	1	2	4	1	4	4	4	1	1	2	1	1	3	4	1	1	2	1	3
ko00071	Fatty acid degradation	22	30	14	31	16	15	33	23	31	14	31	33	33	31	13	31	14	32	17	32	16	24	17	15	17	16	31	14	30	19	15	18
ko00073	Cutin, suberine and wax biosynthesis	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	0	0	0	0	0	0	0	0	0	0
ko00100	Steroid biosynthesis	2	2	1	2	2	1	3	2	2	0	2	1	3	3	2	2	2	1	1	1	2	2	4	2	2	3	2	2	2	2	2	2
ko00120	Primary bile acid biosynthesis	1	3	1	2	0	1	3	3	1	0	2	2	1	1	1	1	2	1	2	2	2	2	1	2	1	2	2	2	1	1	1	2
ko00121	Secondary bile acid biosynthesis	1	3	1	3	0	0	3	3	3	0	3	2	2	3	1	2	1	2	1	2	1	1	0	1	1	1	3	1	3	1	3	1
ko00130	Ubiquinone and other terpenoid-quinone biosynthesis	35	29	24	33	25	15	24	27	30	26	31	28	20	33	20	22	21	24	16	21	29	33	31	21	24	21	29	25	32	29	23	25
ko00140	Steroid hormone biosynthesis	5	4	4	5	4	3	3	4	5	3	5	3	3	5	3	3	3	3	3	3	3	4	4	3	4	3	4	4	4	4	3	3
ko00190	Oxidative phosphorylation	6	3	2	5	4	2	3	2	5	4	6	2	3	5	3	4	4	4	4	2	2	3	3	2	5	3	4	4	5	4	3	4
ko00195	Photosynthesis	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ko00196	Photosynthesis - antenna proteins	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ko00220	Arginine biosynthesis	32	33	30	34	39	25	36	34	35	35	36	33	35	34	36	27	37	38	38	35	37	35	30	37	33	35	37	39	35	38	32	37
ko00230	Purine metabolism	76	82	64	84	76	56	82	76	85	66	82	78	80	81	84	74	73	85	85	78	77	80	72	75	78	82	89	75	78	85	75	74
ko00232	Caffeine metabolism	0	0	0	0	3	0	1	0	0	0	0	0	1	0	0	1	0	1	1	1	0	0	0	0	0	1	1	0	0	1	0	0
ko00240	Pyrimidine metabolism	54	56	48	60	54	41	54	49	60	47	55	55	54	56	63	50	50	51	50	54	53	55	53	56	55	55	56	49	55	52	51	54
ko00250	Alanine, aspartate and glutamate metabolism	44	45	44	44	51	34	47	43	52	42	51	50	46	50	49	35	52	44	48	47	46	45	43	47	49	47	46	48	45	50	41	47
ko00253	Tetracycline biosynthesis	6	6	7	6	6	5	6	7	7	5	6	7	7	6	6	5	5	6	8	6	7	7	7	6	5	5	5	8	6	8	6	5
ko00254	Aflatoxin biosynthesis	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ko00260	Glycine, serine and threonine metabolism	70	74	68	75	71	48	68	65	74	65	74	69	62	76	66	63	68	72	65	62	69	75	73	70	70	66	70	69	66	72	64	64
ko00261	Monobactam biosynthesis	17	15	11	18	15	11	12	14	18	16	16	15	14	18	14	11	15	13	11	14	15	18	13	13	13	14	15	15	18	14	14	15
ko00270	Cysteine and methionine metabolism	59	65	63	64	65	52	65	64	65	67	63	61	56	69	69	51	67	61	61	60	63	67	61	58	52	61	67	66	70	65	63	67
ko00280	Valine, leucine and isoleucine degradation	47	48	35	52	41	26	50	42	54	39	54	55	50	53	38	40	38	54	35	51	37	46	40	32	39	37	53	39	52	43	38	42
ko00281	Geraniol degradation	8	13	6	13	10	5	14	11	14	7	15	14	14	14	8	13	7	13	9	13	9	9	9	6	9	7	13	7	13	12	7	7
ko00290	Valine, leucine and isoleucine biosynthesis	8	16	14	16	16	6	16	15	16	16	15	15	13	15	16	10	16	13	8	16	16	16	15	15	12	16	16	16	16	16	16	16
ko00300	Lysine biosynthesis	33	40	38	40	41	29	36	38	41	40	41	40	39	40	38	25	38	38	37	40	40	41	38	36	38	41	40	40	41	40	37	40
ko00310	Lysine degradation	21	25	15	22	19	13	20	20	23	14	24	22	21	23	15	20	16	23	19	21	15	16	17	16	18	17	20	16	22	21	15	19
ko00311	Penicillin and cephalosporin biosynthesis	5	5	3	5	3	2	5	5	5	4	6	4	5	5	5	4	6	4	4	4	5	5	4	6	6	4	4	4	5	4	5	5
ko00330	Arginine and proline metabolism	32	54	40	40	50	33	39	42	43	47	43	44	39	47	43	25	47	34	40	42	44	38	47	44	41	41	42	40	37	53	39	47
ko00331	Clavulanic acid biosynthesis	2	3	2	3	4	1	4	3	2	4	2	2	3	3	2	1	2	2	1	4	3	3	3	3	1	4	3	3	3	3	3	4
ko00332	Carbapenem biosynthesis	2	8	4	10	6	3	9	9	8	5	6	7	9	11	4	6	4	7	5	9	5	7	2	6	4	7	6	6	9	6	5	3
ko00333	Prodigiosin biosynthesis	16	8	10	15	14	12	14	13	15	14	16	16	14	15	9	9	7	9	12	13	12	14	13	10	14	13	14	14	16	13	12	13
ko00340	Histidine metabolism	20	23	18	25	25	11	23	23	30	22	25	26	19	26	25	19	25	18	24	24	23	31	15	16	28	24	22	23	24	23	21	25
ko00350	Tyrosine metabolism	27	27	23	29	28	18	23	23	34	20	31	24	32	32	23	19	22	19	22	27	21	27	23	23	23	29	24	23	23	25	21	22
ko00360	Phenylalanine metabolism	30	32	30	35	32	21	28	32	36	27	31	37	31	36	29	30	29	29	30	29	30	33	30	29	31	27	34	27	33	30	29	31
ko00361	Chlorocyclohexane and chlorobenzene degradation	15	15	10	14	12	8	13	12	14	11	15	14	10	14	12	8	12	11	11	8	10	15	13	14	12	13	12	12	14	14	13	14
ko00362	Benzoate degradation	45	54	25	58	34	20	56	45	59	34	56	62	51	63	36	53	37	57	33	49	32	49	39	38	36	33	53	37	53	48	35	41
ko00363	Bisphenol degradation	2	2	2	1	2	1	1	1	2	1	2	1	2	1	2	2	1	1	1	1	2	2	1	1	1	2	1	2	1	2	2	2
ko00364	Fluorobenzoate degradation	5	5	5	6	5	3	5	5	6	4	6	5	5	6	4	3	4	4	5	4	5	6	5	4	6	6	5	5	6	4	5	5
ko00365	Furfural degradation	4	1	1	3	2	1	6	2	2	2	2	4	5	2	2	5	2	5	4	6	2	1	2	1	1	5	5	1	3	5	2	1
ko00380	Tryptophan metabolism	18	22	19	23	20	13	22	23	24	16	23	22	21	23	18	19	18	21	18	21	21	18	17	19	18	17	25	19	20	24	19	22
ko00400	Phenylalanine, tyrosine and tryptophan biosynthesis	38	49	46	51	49	31	46	48	43	48	43	44	43	52	43	36	42	48	41	45	50	47	40	44	44	46	49	48	49	48	48	48
