ko	pathway	ERR1995238_bin.1	ERR1995238_bin.10	ERR1995238_bin.2	ERR1995238_bin.3	ERR1995238_bin.4	ERR1995238_bin.5	ERR1995238_bin.6	ERR1995238_bin.7	ERR1995238_bin.8	ERR1995238_bin.9
ko00010	Glycolysis / Gluconeogenesis	60	76	49	55	56	75	58	62	64	53
ko00020	Citrate cycle (TCA cycle)	36	50	28	37	37	49	41	40	43	20
ko00030	Pentose phosphate pathway	45	71	37	42	46	65	55	55	58	45
ko00040	Pentose and glucuronate interconversions	35	62	26	37	38	61	53	56	56	26
ko00051	Fructose and mannose metabolism	53	85	41	41	53	82	57	58	61	40
ko00052	Galactose metabolism	26	53	20	30	31	53	36	38	39	30
ko00053	Ascorbate and aldarate metabolism	25	38	17	21	27	38	30	30	31	19
ko00061	Fatty acid biosynthesis	22	27	23	25	25	27	25	27	27	7
ko00062	Fatty acid elongation	4	5	3	2	1	5	1	2	2	1
ko00071	Fatty acid degradation	29	33	27	17	22	33	24	31	31	11
ko00073	Cutin, suberine and wax biosynthesis	0	1	0	0	0	1	1	0	0	0
ko00100	Steroid biosynthesis	2	3	2	1	2	4	2	2	2	1
ko00120	Primary bile acid biosynthesis	3	2	2	1	2	2	2	1	2	1
ko00121	Secondary bile acid biosynthesis	2	2	2	0	1	2	1	3	3	1
ko00130	Ubiquinone and other terpenoid-quinone biosynthesis	26	38	23	25	31	38	33	31	34	14
ko00140	Steroid hormone biosynthesis	4	4	3	4	5	4	5	5	5	3
ko00190	Oxidative phosphorylation	4	12	5	3	6	12	5	5	5	4
ko00195	Photosynthesis	0	0	0	0	0	0	0	0	0	0
ko00196	Photosynthesis - antenna proteins	0	0	0	0	0	0	0	0	0	0
ko00220	Arginine biosynthesis	29	46	21	36	41	43	35	36	35	20
ko00230	Purine metabolism	75	119	58	65	86	105	79	84	82	59
ko00232	Caffeine metabolism	0	5	0	0	0	4	0	0	0	0
ko00240	Pyrimidine metabolism	58	71	42	47	57	65	57	61	56	50
ko00250	Alanine, aspartate and glutamate metabolism	43	56	36	51	46	52	46	53	51	31
ko00253	Tetracycline biosynthesis	7	11	6	6	6	12	7	7	6	4
ko00254	Aflatoxin biosynthesis	0	0	0	0	0	0	0	0	0	0
ko00260	Glycine, serine and threonine metabolism	61	86	59	68	73	85	76	80	78	56
ko00261	Monobactam biosynthesis	11	20	8	14	15	20	18	18	18	13
ko00270	Cysteine and methionine metabolism	63	79	44	64	61	81	69	69	68	46
ko00280	Valine, leucine and isoleucine degradation	45	59	51	38	48	58	46	54	53	13
ko00281	Geraniol degradation	13	15	12	10	9	15	9	14	14	3
ko00290	Valine, leucine and isoleucine biosynthesis	15	16	11	16	15	16	16	16	16	4
ko00300	Lysine biosynthesis	38	41	25	39	40	41	41	41	41	25
ko00310	Lysine degradation	18	28	25	18	20	29	17	24	24	8
ko00311	Penicillin and cephalosporin biosynthesis	3	7	2	4	4	6	5	5	5	5
ko00330	Arginine and proline metabolism	47	56	39	52	40	57	38	48	46	31
ko00331	Clavulanic acid biosynthesis	2	4	2	3	4	4	3	3	3	3
ko00332	Carbapenem biosynthesis	7	13	6	2	9	12	6	9	8	5
ko00333	Prodigiosin biosynthesis	11	16	13	12	16	16	14	15	14	6
ko00340	Histidine metabolism	19	31	19	25	30	22	30	31	29	13
ko00350	Tyrosine metabolism	29	46	21	23	26	43	31	35	34	19
ko00360	Phenylalanine metabolism	33	52	28	33	32	49	34	38	37	22
ko00361	Chlorocyclohexane and chlorobenzene degradation	12	25	12	12	15	22	15	16	14	9
ko00362	Benzoate degradation	51	90	48	40	48	65	50	59	61	22
ko00363	Bisphenol degradation	1	2	1	1	2	2	1	2	2	2
ko00364	Fluorobenzoate degradation	5	10	5	4	5	8	6	6	6	3
ko00365	Furfural degradation	1	8	2	1	4	5	1	2	2	1
ko00380	Tryptophan metabolism	23	34	21	21	19	33	19	26	25	14
ko00400	Phenylalanine, tyrosine and tryptophan biosynthesis	47	53	35	44	46	52	50	51	53	24
ko00401	Novobiocin biosynthesis	12	15	12	15	14	15	14	14	14	11
ko00402	Benzoxazinoid biosynthesis	0	0	0	0	0	0	0	0	0	0
ko00403	Indole diterpene alkaloid biosynthesis	0	0	0	0	0	0	0	0	0	0
ko00404	Staurosporine biosynthesis	1	9	9	2	5	9	5	5	6	0
ko00405	Phenazine biosynthesis	9	14	8	7	8	14	11	11	11	4
ko00410	beta-Alanine metabolism	18	26	24	17	20	26	17	24	25	12
ko00430	Taurine and hypotaurine metabolism	12	19	9	12	12	16	12	12	12	6
ko00440	Phosphonate and phosphinate metabolism	14	18	11	11	10	20	11	15	12	11
ko00450	Selenocompound metabolism	19	25	13	16	16	23	20	19	19	12
ko00460	Cyanoamino acid metabolism	7	12	3	7	6	11	10	9	10	5
ko00470	D-Amino acid metabolism	30	32	22	27	26	30	25	29	27	17
ko00480	Glutathione metabolism	14	26	8	8	8	26	13	14	14	7
ko00500	Starch and sucrose metabolism	22	56	32	34	42	60	54	50	46	45
ko00510	N-Glycan biosynthesis	4	2	1	2	3	3	3	3	3	3
ko00511	Other glycan degradation	0	3	0	2	4	2	6	6	8	2
ko00512	Mucin type O-glycan biosynthesis	0	0	0	0	0	0	0	0	0	0
ko00513	Various types of N-glycan biosynthesis	1	0	0	0	2	1	2	2	4	1
ko00514	Other types of O-glycan biosynthesis	1	1	1	1	1	1	1	1	1	1
ko00515	Mannose type O-glycan biosynthesis	0	0	0	0	0	0	1	2	0	0
ko00520	Amino sugar and nucleotide sugar metabolism	93	107	94	76	99	112	107	106	106	83
ko00521	Streptomycin biosynthesis	11	13	11	9	13	12	14	14	15	10
ko00522	Biosynthesis of 12-, 14- and 16-membered macrolides	5	15	4	5	15	15	6	15	7	3
ko00523	Polyketide sugar unit biosynthesis	20	38	25	17	31	23	32	34	30	13
ko00524	Neomycin, kanamycin and gentamicin biosynthesis	8	44	2	8	39	44	41	41	42	5
ko00525	Acarbose and validamycin biosynthesis	10	25	8	17	15	20	17	19	18	11
ko00531	Glycosaminoglycan degradation	2	7	0	2	9	4	9	10	10	2
ko00532	Glycosaminoglycan biosynthesis - chondroitin sulfate / dermatan sulfate	0	1	0	1	1	1	1	1	1	1
ko00533	Glycosaminoglycan biosynthesis - keratan sulfate	0	0	0	0	0	0	0	0	0	0
ko00534	Glycosaminoglycan biosynthesis - heparan sulfate / heparin	0	0	0	0	0	0	0	0	0	0
ko00540	Lipopolysaccharide biosynthesis	31	35	18	19	31	31	35	34	33	19
ko00541	O-Antigen nucleotide sugar biosynthesis	50	55	52	39	54	53	58	57	56	38
ko00542	O-Antigen repeat unit biosynthesis	1	2	2	2	2	2	2	2	2	1
ko00550	Peptidoglycan biosynthesis	20	20	17	19	19	20	24	23	21	19
ko00552	Teichoic acid biosynthesis	12	14	7	10	16	14	17	14	15	11
ko00561	Glycerolipid metabolism	23	36	21	23	28	32	27	25	25	26
ko00562	Inositol phosphate metabolism	8	25	6	11	18	24	22	21	22	17
ko00563	Glycosylphosphatidylinositol (GPI)-anchor biosynthesis	0	0	0	0	0	0	0	0	0	0
ko00564	Glycerophospholipid metabolism	30	43	22	28	38	39	35	36	37	29
ko00565	Ether lipid metabolism	1	5	2	3	6	4	5	4	4	2
ko00571	Lipoarabinomannan (LAM) biosynthesis	4	4	3	4	4	4	4	4	5	3
ko00572	Arabinogalactan biosynthesis - Mycobacterium	3	5	2	4	5	4	5	5	5	3
ko00590	Arachidonic acid metabolism	4	7	2	3	3	7	3	5	3	0
ko00591	Linoleic acid metabolism	2	3	2	2	2	4	2	2	2	2
ko00592	alpha-Linolenic acid metabolism	2	3	2	1	1	3	1	2	1	0
ko00600	Sphingolipid metabolism	4	10	2	7	12	9	14	13	14	4
ko00601	Glycosphingolipid biosynthesis - lacto and neolacto series	0	0	0	0	0	0	0	0	0	0
ko00603	Glycosphingolipid biosynthesis - globo and isoglobo series	0	2	0	0	3	2	2	2	2	1
ko00604	Glycosphingolipid biosynthesis - ganglio series	0	0	0	0	1	0	1	1	1	0
ko00620	Pyruvate metabolism	72	97	71	72	72	92	77	79	76	43
ko00621	Dioxin degradation	5	22	6	6	11	19	8	10	7	4
ko00622	Xylene degradation	12	31	12	14	19	27	19	20	19	7
ko00623	Toluene degradation	18	29	23	16	18	27	20	23	21	8
ko00624	Polycyclic aromatic hydrocarbon degradation	10	36	11	14	13	26	13	15	15	6
ko00625	Chloroalkane and chloroalkene degradation	13	26	9	14	15	24	16	18	15	9
ko00626	Naphthalene degradation	10	18	8	12	18	14	11	11	12	5
ko00627	Aminobenzoate degradation	24	65	19	27	30	56	26	28	29	15
ko00630	Glyoxylate and dicarboxylate metabolism	55	82	51	56	59	76	69	67	70	27
ko00633	Nitrotoluene degradation	12	19	12	12	14	19	13	15	14	8
ko00640	Propanoate metabolism	59	79	61	52	60	67	62	68	69	26
ko00642	Ethylbenzene degradation	5	12	3	8	5	11	6	6	5	1
ko00643	Styrene degradation	11	15	9	6	7	14	8	10	9	7
ko00650	Butanoate metabolism	57	85	66	57	57	81	60	72	68	32
ko00660	C5-Branched dibasic acid metabolism	16	21	16	9	10	19	14	13	12	1
ko00670	One carbon pool by folate	26	22	12	19	25	23	28	28	28	9
ko00680	Methane metabolism	83	117	77	77	87	119	88	94	97	65
ko00710	Carbon fixation in photosynthetic organisms	16	23	14	15	16	19	18	17	18	14
ko00720	Carbon fixation pathways in prokaryotes	72	94	59	70	69	91	80	78	85	36
ko00730	Thiamine metabolism	18	23	16	16	16	22	21	20	22	14
ko00740	Riboflavin metabolism	23	36	22	20	29	36	31	34	29	19
ko00750	Vitamin B6 metabolism	9	18	7	9	12	18	12	14	11	7
ko00760	Nicotinate and nicotinamide metabolism	38	63	23	33	37	48	39	43	42	28
ko00770	Pantothenate and CoA biosynthesis	25	30	24	25	28	32	30	29	28	15
ko00780	Biotin metabolism	13	16	13	16	16	18	18	18	18	7
ko00785	Lipoic acid metabolism	1	7	1	0	3	6	4	7	7	0
ko00790	Folate biosynthesis	51	57	41	28	46	57	48	47	49	18
ko00791	Atrazine degradation	7	11	5	3	7	11	2	1	1	3
ko00830	Retinol metabolism	7	8	6	8	6	8	8	8	8	5
ko00860	Porphyrin metabolism	67	86	54	41	56	70	72	69	59	29
ko00900	Terpenoid backbone biosynthesis	26	31	22	28	30	31	30	30	30	19
ko00901	Indole alkaloid biosynthesis	2	5	2	1	0	3	0	2	1	0
ko00902	Monoterpenoid biosynthesis	5	6	3	4	8	5	8	8	8	3
ko00903	Limonene and pinene degradation	8	12	6	7	8	12	6	10	9	6
ko00904	Diterpenoid biosynthesis	0	5	5	5	5	0	5	5	5	0
ko00905	Brassinosteroid biosynthesis	0	0	0	0	0	0	0	0	0	0
ko00906	Carotenoid biosynthesis	13	17	12	14	15	16	14	15	14	12
ko00908	Zeatin biosynthesis	2	3	1	1	0	3	1	1	1	1
ko00909	Sesquiterpenoid and triterpenoid biosynthesis	2	2	1	1	1	2	1	1	1	1
ko00910	Nitrogen metabolism	25	36	10	17	16	28	26	21	27	9
ko00920	Sulfur metabolism	46	70	33	39	43	70	49	51	55	24
ko00930	Caprolactam degradation	11	17	9	9	8	16	10	16	13	7
ko00940	Phenylpropanoid biosynthesis	1	5	2	2	4	5	3	3	3	0
ko00941	Flavonoid biosynthesis	1	4	0	1	1	4	1	1	1	0
ko00942	Anthocyanin biosynthesis	0	0	0	0	0	0	1	0	1	0
ko00943	Isoflavonoid biosynthesis	1	2	1	1	1	2	1	1	1	1
ko00944	Flavone and flavonol biosynthesis	0	1	0	1	1	1	1	1	1	1
ko00945	Stilbenoid, diarylheptanoid and gingerol biosynthesis	2	2	1	2	2	2	2	2	2	1
ko00950	Isoquinoline alkaloid biosynthesis	7	8	6	6	7	9	7	8	7	6
ko00960	Tropane, piperidine and pyridine alkaloid biosynthesis	11	12	10	11	11	12	10	10	10	9
ko00965	Betalain biosynthesis	2	6	4	4	4	6	4	5	4	0
ko00966	Glucosinolate biosynthesis	1	2	1	2	2	2	2	2	2	0
ko00970	Aminoacyl-tRNA biosynthesis	37	34	32	34	29	34	30	31	30	34
ko00980	Metabolism of xenobiotics by cytochrome P450	5	9	4	7	4	10	7	8	8	4
ko00981	Insect hormone biosynthesis	1	3	1	2	1	2	1	2	2	1
ko00982	Drug metabolism - cytochrome P450	4	6	3	5	2	6	4	5	5	3
ko00983	Drug metabolism - other enzymes	13	20	8	12	14	19	16	17	15	14
ko00984	Steroid degradation	7	13	7	9	11	12	10	11	10	6
ko00996	Biosynthesis of various alkaloids	1	1	1	0	0	1	0	1	1	0
ko00997	Biosynthesis of various other secondary metabolites	5	9	4	4	8	16	4	5	5	2
ko00998	Biosynthesis of various antibiotics	20	27	16	17	21	27	22	23	21	12
ko00999	Biosynthesis of various plant secondary metabolites	11	8	3	6	6	8	12	11	11	4
